ca9,ca9,4.5282714210736184e-05
ca9,ca8,1.8096818254949392e-06
ca3,ca3,9.908649625401732e-05
ca3,ca9,3.5353344172342513e-06
ca3,ca6,3.3432338535779085e-06
ca3,ca11,2.879401162909648e-06
ca3,ca7,6.001451055116988e-06
ca3,ca5,3.503560555601223e-06
ca3,ca10,3.521833640850176e-06
ca3,ca4,2.5458987724763746e-06
ca3,ca2,8.578480372644801e-06
ca3,ca8,3.478402336297301e-06
ca6,ca6,8.269862432644723e-05
ca6,ca1,5.242231114267757e-06
ca11,ca9,1.8178375468601755e-06
ca11,ca11,0.00010865811795595229
ca11,ca8,1.8919877197379422e-06
ca11,ca5,6.849728177127358e-06
ca11,ca10,1.8339567005091576e-06
ca11,ca7,3.097428916489999e-06
ca8,ca10,2.5663913598874294e-06
ca8,ca7,3.7830169682861944e-06
ca8,ca9,2.15248436998491e-06
ca8,ca5,2.017165888098515e-06
ca8,ca8,7.593826913479467e-05
ca10,ca10,0.00010057810801252067
ca10,ca11,2.3549309455105656e-06
ca10,cadc,5.066764966047971e-06
ca10,ca7,4.379503469175135e-06
ca10,ca2,4.435000251816304e-06
ca10,ca1,5.16199635046858e-06
ca10,ca5,2.4257990991422926e-06
ca10,ca9,2.7770152198312274e-06
ca8,ca11,1.6938873802204708e-06
ca8,ca6,2.176652460950919e-06
ca8,ca2,4.180104962894971e-06
ca8,ca4,1.6211840489031347e-06
ca8,ca1,3.993267168688897e-06
ca8,cadc,4.193030036300844e-06
ca8,ca3,2.832154621098217e-06
ca5,ca5,3.766784147022809e-05
cadc,ca2,9.0391530048793e-06
cadc,ca9,3.4116960687828927e-06
cadc,ca4,2.815176791991111e-06
cadc,ca7,5.369889293243468e-06
cadc,ca5,3.244940198406879e-06
ca11,ca6,1.7955297707659475e-06
ca11,ca1,3.842304641959751e-06
ca11,ca2,3.5640247926704776e-06
ca11,ca3,2.8078028531028384e-06
ca7,ca6,3.440657130961923e-06
ca7,ca5,2.829741763886626e-06
ca7,ca7,0.00011377085490948209
ca7,ca8,3.931072131273255e-06
ca7,cadc,6.742447307627928e-06
ca6,ca9,2.7179279939494634e-06
ca6,ca8,3.172302637165182e-06
ca7,ca1,6.464430367050612e-06
ca7,ca2,7.24388885847288e-06
ca6,ca5,2.5348089205559615e-06
ca6,ca3,3.827024886853913e-06
ca2,ca2,0.00010830096866414464
ca2,ca9,2.5821380604642603e-06
ca7,ca11,2.8239011068388156e-06
ca9,ca7,2.7388798247007184e-06
ca9,ca3,2.5505503457415087e-06
ca9,ca10,1.8458575899751545e-06
ca9,ca2,4.094788552032883e-06
ca9,ca5,1.634767506012267e-06
ca9,cadc,4.779106833882989e-06
ca9,ca1,3.297468692091174e-06
ca7,ca9,3.245286052069599e-06
ca7,ca3,4.937037051322708e-06
ca5,ca3,3.822983943955749e-06
ca5,ca7,2.37165080596408e-06
ca6,ca7,5.081464251728816e-06
ca6,ca2,5.414874435278395e-06
ca6,ca10,2.808929627559696e-06
ca9,ca11,1.3296766775348026e-06
ca10,ca6,2.5324475920750424e-06
ca5,ca11,1.2803594549102978e-06
ca5,ca1,2.9016882779363194e-06
ca5,ca8,1.7248697712734685e-06
ca5,ca10,1.6298182716671572e-06
ca5,ca6,1.509102823920506e-06
ca5,ca2,3.4370830669064246e-06
ca6,ca11,2.3590952111227466e-06
ca6,ca4,2.0690882143007933e-06
ca6,cadc,4.950379749046102e-06
ca2,ca1,5.5811857075071855e-06
ca2,ca5,2.213786044526111e-06
ca2,ca4,1.8455074471310677e-06
ca2,cadc,7.054258072305304e-06
ca7,ca10,3.4063560896521073e-06
ca7,ca4,2.2487543931309835e-06
ca9,ca6,1.588017952790949e-06
ca1,ca3,6.774602430783198e-06
ca1,ca4,3.143071127390844e-06
ca1,ca5,4.4644775249938775e-06
ca3,cadc,7.0257926564310375e-06
ca10,ca3,3.4517350904527365e-06
ca10,ca8,3.32712798445279e-06
ca10,ca4,1.8143893261598931e-06
ca1,ca1,0.00020474887544587287
ca1,ca2,1.1143267457851251e-05
ca9,ca4,1.1925266241684198e-06
ca1,ca9,4.621421768840439e-06
ca1,ca6,4.276813128614514e-06
ca1,ca11,3.829470816842795e-06
ca1,ca8,4.909754715601103e-06
ca2,ca7,4.03761299550954e-06
ca2,ca11,1.565055191650167e-06
ca2,ca8,2.4146506575026124e-06
ca4,ca4,4.183718344634287e-05
ca1,ca7,7.854846743028212e-06
ca1,ca10,4.780833475620836e-06
ca1,cadc,9.568106452561852e-06
cadc,cadc,0.00022814567571511488
ca2,ca3,4.349547004218952e-06
ca2,ca6,2.2972503647376225e-06
ca5,ca9,1.5585667938052411e-06
ca5,ca4,1.2590350755546346e-06
ca5,cadc,3.571646497905599e-06
cadc,ca6,2.992684440173218e-06
ca2,ca10,2.121722446589829e-06
ca4,ca6,1.884693031988305e-06
ca4,ca7,3.1307073424102254e-06
ca4,ca5,1.7854498570722055e-06
ca4,ca11,1.7775815615493649e-06
ca11,cadc,3.1871075456543026e-06
ca11,ca4,1.396084759903749e-06
ca4,ca3,2.5550129685592257e-06
ca4,ca8,2.0472844405651583e-06
ca4,ca1,3.5479014332110276e-06
cadc,ca10,3.135005363405864e-06
cadc,ca8,3.441027059050331e-06
cadc,ca1,6.4539810927730725e-06
ca4,ca9,1.7075480229182403e-06
ca3,ca1,8.099088545535599e-06
cadc,ca11,1.9497375316596003e-06
ca4,ca10,1.985651044823357e-06
ca4,ca2,3.6860679332717178e-06
ca4,cadc,3.933140636465054e-06
cadc,ca3,4.8963763968872126e-06
